local_timestamp,Generator_Frequency,Generator_Avg_Voltage,Generator_Apparent_Power,Generator_Avg_Active_Power,Generator_Avg_Reactive_Power,Mains_Frequency,Mains_Avg_Voltage,Mains_Active_Energy
2021-10-08 22:20:48-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 22:20:49-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 22:20:50-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 22:20:51-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 22:20:52-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 22:20:54-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
