local_timestamp,Generator_Frequency,Generator_Avg_Voltage,Generator_Apparent_Power,Generator_Avg_Active_Power,Generator_Avg_Reactive_Power,Mains_Frequency,Mains_Avg_Voltage,Mains_Active_Energy
2021-10-08 22:22:47-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 22:22:48-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 22:22:49-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 22:22:50-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 22:22:52-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 22:22:53-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
