local_timestamp,Generator_Frequency,Generator_Avg_Voltage,Generator_Apparent_Power,Generator_Avg_Active_Power,Generator_Avg_Reactive_Power,Mains_Frequency,Mains_Avg_Voltage,Mains_Active_Energy
2021-10-08 19:51:17-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 19:51:18-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 19:51:19-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 19:51:20-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 19:51:22-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 19:51:23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
