local_timestamp,Generator_Frequency,Generator_Avg_Voltage,Generator_Apparent_Power,Generator_Avg_Active_Power,Generator_Avg_Reactive_Power,Mains_Frequency,Mains_Avg_Voltage,Mains_Active_Energy
2021-10-08 21:20:37-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 21:20:38-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 21:20:40-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 21:20:41-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 21:20:42-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08 21:20:43-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
